original_address,original___parsed_extra,lat,lon,formatted,housenumber,name,street,district,suburb,postcode,city,confidence_city_level,county,state,confidence_street_level,country,country_code,confidence,attribution,attribution_license,attribution_url
"FO ÚT HRSZ.: 194.,"" FELCSÚT"",47.954201,22.696327,""Fő út, Magyarország"",,,Fő út,,,,,,,,,Magyarország,hu,0.315,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MAGYARI ISTVÁN UTCA 10.,"" BUDAPEST"",47.47337315,19.044875719571735,""Budapest, Magyari István utca 10, 1114, Magyarország"",10,,Magyari István utca,XI. kerület,Kelenföld,1114,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SZABADMÁJUS TÉR 1.,"" BUDAPEST"",47.179025100000004,20.176084800000005,""Szolnok vasútállomás, Szolnok, Jubileumi tér 1, 5000, Magyarország"",1,Szolnok vasútállomás,Jubileumi tér,,Meggyesitelep,5000,Szolnok,,Jász-Nagykun-Szolnok vármegye,Észak-Alföld,,Magyarország,hu,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VÁCI ÚT 140-144.,"" BUDAPEST"",47.5482156,19.0730748,""Budapest, Váci út 142, 1138, Magyarország"",142,,Váci út,,Angyalföld,1138,Budapest,,Budapest,Közép-Magyarország,,Magyarország,hu,0.7,,,"
"FAL KÖZ,"" SZÉKESFEHÉRVÁR"",47.1905443,18.4143451,""Székesfehérvár, Fal köz, 8000, Magyarország"",,Fal köz,Fal köz,Vízivárosi lakótelep,Ősz utca,8000,Székesfehérvár,,Fejér vármegye,Közép-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"NAGYMEZO UTCA 3.,"" BUDAPEST"",47.94900535,19.598535467857143,""Alsótold, Nagymező utca 3, 3069, Magyarország"",3,,Nagymező utca,,,3069,Alsótold,,Nógrád vármegye,Észak-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"JÓZSEF ATTILA UTCA 1.,"" GYÁL"",46.7595046,17.355729991566324,""Balatongyörök, József Attila utca 1, 8313, Magyarország"",1,,József Attila utca,,,8313,Balatongyörök,,Zala vármegye,Nyugat-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VÁCI ÚT 9-15.,"" BUDAPEST"",47.5184053,19.0615763,""Magyar Posta, Budapest, Váci út 9-15, 1551, Magyarország"",9-15,Magyar Posta,Váci út,XIII. kerület,Angyalföld,1551,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ZSINÓR U. 23-25. - JÁSZ U. 89-91.,"" BP."",,,,,,,,,,,,,,,,,,,,"
"BAJCSY-ZS. UTCA 24.,"" DEBRECEN"",46.41917,18.9197,""Posta, Fajsz, Bajcsy utca 7, 6352, Magyarország"",7,Posta,Bajcsy utca,,,6352,Fajsz,,Bács-Kiskun vármegye,Dél-Alföld,,Magyarország,hu,0.33333333333333337,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BERLINI ÚT 47-49.,"" BUDAPEST"",47.516591,19.089338,""Budapest, Hermina út 47, 1146, Magyarország"",47,,Hermina út,,Terezvaro,1146,Budapest,,Budapest,Közép-Magyarország,,Magyarország,hu,0.5670000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"HUNYAD LEJTO 30.,"" BUDAPEST"",47.513839000000004,18.979244843244274,""Budapest, Hunyad lejtő 30, 1121, Magyarország"",30,,Hunyad lejtő,XII. kerület,Virányos,1121,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BOCSKAI ÚT 10.,"" BUDAPEST"",48.07854945,19.509899514240473,""Szécsény, Bocskai út 10, 3170, Magyarország"",10,,Bocskai út,,,3170,Szécsény,,Nógrád vármegye,Észak-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VISEGRÁDI U. 101. - VÉSO U. 7.,"" BUDAPEST"",,,,,,,,,,,,,,,,,,,,"
"ULÁSZLÓ UTCA 4.,"" BUDAPEST"",47.472870400000005,19.04521567572214,""Budapest, Ulászló utca 4, 1114, Magyarország"",4,,Ulászló utca,XI. kerület,Kelenföld,1114,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KANIZSAI UTCA 1.,"" BUDAPEST"",47.4724603,19.045142827830055,""Budapest, Kanizsai utca 1, 1114, Magyarország"",1,,Kanizsai utca,XI. kerület,Kelenföld,1114,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
